id,parent,lat,lon,name,location_type,pm_2.5,temp_f,temp_c,humidity,pressure,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,last_seen,model,adc,rssi,hidden,flagged,downgraded,age,brightness,hardware,version,last_update_check,created,uptime,is_owner,10min_avg,30min_avg,1hour_avg,6hour_avg,1day_avg,1week_avg
58843,,40.593659,-73.985909,CU Cap20 50:2:91:E4:D0:7E 2630 Benson Ave,outside,6.3,69.0,20.555555555555557,64.0,1015.0,,,,,,,,,,,,,2020-10-15 20:30:19,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,5.73,6.17,6.52,6.83,6.05,8.39
81845,,40.834048,-73.902474,CU Cap20 8fd Fulton Ave Outside,outside,7.95,83.0,28.333333333333336,42.0,1015.04,,,,,,,,,,,,,2020-10-15 15:41:52,PMS5003+PMS5003+BME280,,,False,False,False,289,,,,,,,False,6.27,3.0,1.65,0.3,0.08,0.01
58749,,40.863415,-73.927244,CU Cap20 Sbe Thayer,inside,5.77,86.0,30.0,40.0,1013.06,,,,,,,,,,,,,2020-10-15 20:30:29,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,4.94,6.76,8.11,8.03,7.48,5.69
45275,,40.03456,-105.279185,CU-North,inside,6.36,78.0,25.555555555555557,12.0,839.03,,,,,,,,,,,,,2020-10-15 20:29:52,PMS5003+PMS5003+BME280,,,False,True,False,1,,,,,,,False,6.32,5.33,3.86,1.73,5.69,19.49
61897,,37.372215,-122.061131,Cuernavaca,inside,5.15,80.0,26.666666666666668,29.0,1011.42,,,,,,,,,,,,,2020-10-15 20:30:34,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,11.35,17.38,14.61,5.25,4.58,10.52
69861,,37.371091,-122.061891,Cuernavaca,outside,3.72,91.0,32.77777777777778,11.0,1011.26,,,,,,,,,,,,,2020-10-15 20:31:03,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,4.14,4.44,4.08,5.0,7.75,15.46
67243,,36.961384,-121.877165,Cuesta Drive,outside,1.69,105.0,40.55555555555556,6.0,1008.79,,,,,,,,,,,,,2020-10-15 20:30:59,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,3.12,3.7,4.0,6.13,7.89,13.78
68647,,37.379636,-122.079636,Cuesta Park Neighborhood,outside,3.91,97.0,36.111111111111114,8.0,1012.53,,,,,,,,,,,,,2020-10-15 20:30:30,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,4.34,4.45,4.04,4.97,7.69,13.18
70337,,37.552195,-122.346915,Culebra Indoor,inside,2.5,83.0,28.333333333333336,32.0,1005.34,,,,,,,,,,,,,2020-10-15 20:30:53,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,2.77,2.77,2.8,2.9,2.57,3.02
70721,,37.551454,-122.346979,Culebra Outside,outside,1.71,88.0,31.111111111111114,11.0,1004.67,,,,,,,,,,,,,2020-10-15 20:31:22,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,1.69,1.7,1.88,3.61,4.95,11.68
49053,,34.006292,-118.399334,Culver City Middle School,outside,21.19,100.0,37.77777777777778,21.0,1012.45,,,,,,,,,,,,,2020-10-15 20:31:13,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,22.72,23.13,23.99,26.56,22.93,21.88
70793,,34.009173,-118.409042,Culver Clarkdale,outside,25.44,95.0,35.0,22.0,1013.16,,,,,,,,,,,,,2020-10-15 20:30:30,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,26.38,27.4,28.45,30.24,26.46,21.5
19047,,37.360932,-122.040826,Cumberland South,outside,2.36,103.0,39.44444444444444,10.0,1010.57,,,,,,,,,,,,,2020-10-15 20:29:55,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,2.82,3.03,2.73,3.42,5.87,21.28
76331,,29.132937,-110.951827,Cumbres,outside,4.82,109.0,42.77777777777778,11.0,978.22,,,,,,,,,,,,,2020-10-15 20:30:43,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,5.93,7.31,8.23,9.79,9.18,3.84
22877,,40.814501,-73.951456,CUNY-1,outside,4.38,,,,,,,,,,,,,,,,,2020-10-15 20:30:39,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,4.84,5.64,6.72,8.85,7.48,9.98
22869,,40.815311,-73.950326,CUNY-2 inside,inside,2.64,81.0,27.222222222222225,39.0,1005.14,,,,,,,,,,,,,2020-10-15 20:31:07,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,2.12,2.46,2.84,2.89,2.26,3.19
36287,,37.315869,-122.072912,Cupertino - Alcalde Rd,outside,4.05,105.0,40.55555555555556,7.0,1000.63,,,,,,,,,,,,,2020-10-15 20:30:11,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,4.02,3.32,2.76,3.15,6.07,20.41
18531,,37.330278,-122.06036,Cupertino,outside,3.13,97.0,36.111111111111114,11.0,1006.57,,,,,,,,,,,,,2020-10-15 20:31:14,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,3.61,3.18,2.6,2.81,5.42,22.56
71231,,37.328566,-122.048724,Cupertino Dog House,inside,0.96,93.0,33.88888888888889,18.0,1006.51,,,,,,,,,,,,,2020-10-15 20:30:44,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,1.18,1.27,1.42,2.56,3.32,3.6
70017,,37.32845,-122.048818,Cupertino Dog Yard,outside,3.41,110.0,43.333333333333336,3.0,1005.78,,,,,,,,,,,,,2020-10-15 20:30:41,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,3.83,3.82,3.49,4.72,7.37,14.06
20031,,37.338662,-122.034055,Cupertino Indoors,inside,0.63,93.0,33.88888888888889,30.0,1008.61,,,,,,,,,,,,,2020-10-15 20:30:18,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,0.65,0.76,0.94,1.86,2.31,5.95
29443,,37.331891,-122.012066,Cupertino Ridge View (Indoor),inside,5.09,83.0,28.333333333333336,32.0,1009.37,,,,,,,,,,,,,2020-10-15 20:29:57,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,5.37,3.0,2.36,4.43,5.35,4.2
